QueryId,EntityId
INEX_LD-2009039,"<dbpedia:Ancient_Roman_architecture>"
INEX_LD-2009039,"<dbpedia:Roman_Architectural_Revolution>"
INEX_LD-2009039,"<dbpedia:Architecture_of_Rome>"
INEX_LD-2009039,"<dbpedia:Byzantine_architecture>"
INEX_LD-2009039,"<dbpedia:List_of_Roman_domes>"
INEX_LD-2009039,"<dbpedia:Duncan_G._Stroik>"
INEX_LD-2009039,"<dbpedia:Roman_villa>"
INEX_LD-2009039,"<dbpedia:Attic_base>"
INEX_LD-2009039,"<dbpedia:De_Architectura>"
INEX_LD-2009039,"<dbpedia:Cella>"
INEX_LD-2009039,"<dbpedia:Aedicula>"
INEX_LD-2009039,"<dbpedia:Isabelline_Gothic>"
INEX_LD-2009039,"<dbpedia:Architecture_of_montenegro>"
INEX_LD-2009039,"<dbpedia:List_of_ancient_architectural_records>"
INEX_LD-2009039,"<dbpedia:Roman_bridge>"
INEX_LD-2009039,"<dbpedia:History_of_Roman_and_Byzantine_domes>"
INEX_LD-2009039,"<dbpedia:Peribolos>"
INEX_LD-2009039,"<dbpedia:Roman_military_tombstones>"
INEX_LD-2009039,"<dbpedia:Labrum_(architecture)>"
INEX_LD-2009039,"<dbpedia:Architecture_of_Scotland_in_the_Roman_era>"
INEX_LD-2009039,"<dbpedia:Pilae_Stacks>"
INEX_LD-2009039,"<dbpedia:Spur_(architecture)>"
INEX_LD-2009039,"<dbpedia:List_of_Roman_victory_columns>"
INEX_LD-2009039,"<dbpedia:Temple_of_bacchus>"
INEX_LD-2009039,"<dbpedia:San_Giorgio,_Campobasso>"
INEX_LD-2009039,"<dbpedia:Suspensura>"
INEX_LD-2009039,"<dbpedia:San_Pedro_Sula_Cathedral>"
INEX_LD-2009039,"<dbpedia:San_vittore_alle_chiuse>"
INEX_LD-2009039,"<dbpedia:Roman_concrete>"
INEX_LD-2009039,"<dbpedia:Saints_Peter_and_Paul_Roman_Catholic_Church_Complex>"
INEX_LD-2009039,"<dbpedia:Sant'Ignazio,_Busseto>"
INEX_LD-2009039,"<dbpedia:Castellum>"
INEX_LD-2009039,"<dbpedia:Santiago_Apostol,_Orihuela>"
INEX_LD-2009039,"<dbpedia:Pteron>"
INEX_LD-2009039,"<dbpedia:Mount_Ecclesia>"
INEX_LD-2009039,"<dbpedia:Sacellum>"
INEX_LD-2009039,"<dbpedia:Classical_order>"
INEX_LD-2009039,"<dbpedia:Dingras_Church>"
INEX_LD-2009039,"<dbpedia:Chiesa_della_Madonnalta,_Acqui_Terme>"
INEX_LD-2009039,"<dbpedia:List_of_ancient_spiral_stairs>"
INEX_LD-2009039,"<dbpedia:Huelva_Cathedral>"
INEX_LD-2009039,"<dbpedia:Sacred_Heart_Cathedral_(Knoxville,_Tennessee)>"
INEX_LD-2009039,"<dbpedia:San_Ponziano,_Lucca>"
INEX_LD-2009039,"<dbpedia:Santa_Maria_Maddalena,_Cento>"
INEX_LD-2009039,"<dbpedia:Plasencia_Cathedral>"
INEX_LD-2009039,"<dbpedia:Ferrol_Cathedral>"
INEX_LD-2009039,"<dbpedia:AlmerÃ­a_Cathedral>"
INEX_LD-2009039,"<dbpedia:Insula_(building)>"
INEX_LD-2009039,"<dbpedia:Hadrian's_Gate>"
INEX_LD-2009039,"<dbpedia:MondoÃ±edo_Cathedral>"
INEX_LD-2009039,"<dbpedia:Coria_Cathedral>"
INEX_LD-2009039,"<dbpedia:Basilica_of_Sant'Antonino,_Piacenza>"
INEX_LD-2009039,"<dbpedia:Cathedral_of_the_Immaculate_Conception_(Tyler,_Texas)>"
INEX_LD-2009039,"<dbpedia:MonzÃ³n_Cathedral>"
INEX_LD-2009039,"<dbpedia:San_Martino,_Venice>"
INEX_LD-2009039,"<dbpedia:Ruvo_Cathedral>"
INEX_LD-2009039,"<dbpedia:Sacred_Heart_Cathedral_(Fairbanks,_Alaska)>"
INEX_LD-2009039,"<dbpedia:St_Patrick's_Church,_Liverpool>"
INEX_LD-2009039,"<dbpedia:Peripteros>"
INEX_LD-2009039,"<dbpedia:Peristasis_(architecture)>"
INEX_LD-2009039,"<dbpedia:Tetrapylon>"
INEX_LD-2009039,"<dbpedia:Tudela_Cathedral>"
INEX_LD-2009039,"<dbpedia:Orihuela_Cathedral>"
INEX_LD-2009039,"<dbpedia:Sainte_Jeanne_d'Arc,_Nice>"
INEX_LD-2009039,"<dbpedia:Baeza_Cathedral>"
INEX_LD-2009039,"<dbpedia:Antae_Temple>"
INEX_LD-2009039,"<dbpedia:Saint-Dominique_Church_(Quebec_City)>"
INEX_LD-2009039,"<dbpedia:Fauces_(architecture)>"
INEX_LD-2009039,"<dbpedia:Iglesia_San_AgustÃ­n,_Chile>"
INEX_LD-2009039,"<dbpedia:Stillicidium>"
INEX_LD-2009039,"<dbpedia:Baguio_Cathedral>"
INEX_LD-2009039,"<dbpedia:Odeon_(building)>"
INEX_LD-2009039,"<dbpedia:Cathedral_of_Santa_Ana_(El_Salvador)>"
INEX_LD-2009039,"<dbpedia:Mater_admirabilis>"
INEX_LD-2009039,"<dbpedia:Diocletian_window>"
INEX_LD-2009039,"<dbpedia:San_Filippo_Neri,_Turin>"
INEX_LD-2009039,"<dbpedia:Scaenae_frons>"
INEX_LD-2009039,"<dbpedia:Maenianum>"
INEX_LD-2009039,"<dbpedia:Basilica_of_St._Mary_of_the_Assumption_(Marietta,_Ohio)>"
INEX_LD-2009039,"<dbpedia:Cathedral_of_the_Immaculate_Conception_(Burlington,_Vermont)>"
INEX_LD-2009039,"<dbpedia:St._James's_Cathedral,_Riga>"
INEX_LD-2009039,"<dbpedia:Architrave>"
INEX_LD-2009039,"<dbpedia:Holy_Family_Cathedral_(Anchorage,_Alaska)>"
INEX_LD-2009039,"<dbpedia:Wayside_shrine>"
INEX_LD-2009039,"<dbpedia:Villa_Rustica>"
INEX_LD-2009039,"<dbpedia:Polygonal_masonry>"
INEX_LD-2009039,"<dbpedia:History_of_lighthouses>"
INEX_LD-2009039,"<dbpedia:Hypotrachelium>"
INEX_LD-2009039,"<dbpedia:Cathedral_of_Our_Lady_of_the_Assumption,_Oaxaca>"
INEX_LD-2009039,"<dbpedia:Oecus>"
INEX_LD-2009039,"<dbpedia:Cathedral_of_St._Vincent_de_Paul>"
INEX_LD-2009039,"<dbpedia:Cavaedium>"
INEX_LD-2009039,"<dbpedia:Church_of_Saints_Simon_and_Helena>"
INEX_LD-2009039,"<dbpedia:Emissary_(hydraulics)>"
INEX_LD-2009039,"<dbpedia:Scamilli_Impares>"
INEX_LD-2009039,"<dbpedia:Roman_aqueduct>"
