QueryId,EntityId
INEX_LD-2009039,<dbpedia:Ancient_Roman_architecture>
INEX_LD-2009039,"<dbpedia:Sacred_Heart_Cathedral_(Knoxville,_Tennessee)>"
INEX_LD-2009039,"<dbpedia:Sacred_Heart_Cathedral_(Fairbanks,_Alaska)>"
INEX_LD-2009039,<dbpedia:Villa_Rustica>
INEX_LD-2009039,"<dbpedia:St_Patrick's_Church,_Liverpool>"
INEX_LD-2009039,"<dbpedia:Cathedral_of_the_Immaculate_Conception_(Burlington,_Vermont)>"
INEX_LD-2009039,<dbpedia:Peribolos>
INEX_LD-2009039,"<dbpedia:Iglesia_San_AgustÃ­n,_Chile>"
INEX_LD-2009039,<dbpedia:Hadrian's_Gate>
INEX_LD-2009039,<dbpedia:Mount_Ecclesia>
INEX_LD-2009061,<dbpedia:BÃ©ny-sur-Mer_Canadian_War_Cemetery>
INEX_LD-2009061,<dbpedia:Pegasus_Bridge>
INEX_LD-2009061,<dbpedia:Bayeux_Commonwealth_War_Graves_Commission_Cemetery>
INEX_LD-2009061,<dbpedia:Ranville_War_Cemetery>
INEX_LD-2009061,<dbpedia:Bretteville-sur-Laize_Canadian_War_Cemetery>
INEX_LD-2009061,<dbpedia:Normandy_American_Cemetery_and_Memorial>
INEX_LD-2009061,<dbpedia:Hillman_Site>
INEX_LD-2009061,<dbpedia:Order_of_battle_for_Operation_Epsom>
INEX_LD-2009061,<dbpedia:Normandy_Campaign>
INEX_LD-2009061,<dbpedia:Merville_gun_battery>
INEX_LD-2009063,<dbpedia:Ozeville>
INEX_LD-2009063,<dbpedia:The_Longest_Day_(game)>
INEX_LD-2009063,<dbpedia:Merville_gun_battery>
INEX_LD-2009063,<dbpedia:Robert_G._Cole>
INEX_LD-2009063,<dbpedia:Normandy_Veterans'_Association>
INEX_LD-2009063,<dbpedia:Ranger_Assault_Group>
INEX_LD-2009063,<dbpedia:121st_Engineer_Battalion_(United_States)>
INEX_LD-2009063,<dbpedia:2nd_Canadian_Armoured_Brigade>
INEX_LD-2009063,<dbpedia:HMS_Beagle_(H30)>
INEX_LD-2009063,"<dbpedia:Edwin_Bramall,_Baron_Bramall>"
INEX_LD-2009096,"<dbpedia:Eiffel_Tower_(Paris,_Tennessee)>"
INEX_LD-2009096,<dbpedia:List_of_Eiffel_Tower_replicas>
INEX_LD-2009096,<dbpedia:Eiffel_(company)>
INEX_LD-2009096,<dbpedia:Visual_Eiffel>
INEX_LD-2009096,<dbpedia:LibertyEiffel>
INEX_LD-2009096,<dbpedia:Eiffel_65_discography>
INEX_LD-2009096,<dbpedia:Married_to_the_Eiffel_Tower>
INEX_LD-2009096,<dbpedia:Contact!>
INEX_LD-2009096,<dbpedia:Losing_You_(Eiffel_65_song)>
INEX_LD-2009096,<dbpedia:Walk_Away_(Alanis_Morissette_song)>
INEX_LD-2009115,<dbpedia:Virtual_Museum>
INEX_LD-2009115,<dbpedia:Virtual_Museum_of_Canada>
INEX_LD-2009115,<dbpedia:Open_Museum>
INEX_LD-2009115,<dbpedia:Virtual_Globes_Museum>
INEX_LD-2009115,<dbpedia:American_Widescreen_Museum>
INEX_LD-2009115,<dbpedia:Air_Sickness_Bag_Virtual_Museum>
INEX_LD-2009115,<dbpedia:McCormick_Tribune_Freedom_Museum>
INEX_LD-2009115,<dbpedia:Springburn_Museum>
INEX_LD-2009115,<dbpedia:Virtual_herbarium>
INEX_LD-2009115,<dbpedia:Desheret>
INEX_LD-2010014,<dbpedia:Natural_History_Museum_(Pavia)>
INEX_LD-2010014,<dbpedia:Troldhaugen>
INEX_LD-2010014,<dbpedia:Teacup_Travels>
INEX_LD-2010014,<dbpedia:Museums10>
INEX_LD-2010014,<dbpedia:Wolfgang_Mitterer>
INEX_LD-2010014,<dbpedia:Fred_Momotenko>
INEX_LD-2010014,<dbpedia:Daniel_Read>
INEX_LD-2010014,<dbpedia:William_P._Perry>
INEX_LD-2010014,<dbpedia:Johannes_Ciconia>
INEX_LD-2010014,<dbpedia:Bernhard_Crusell>
INEX_LD-2010020,<dbpedia:FR-4>
INEX_LD-2010020,<dbpedia:3C_401>
INEX_LD-2010020,<dbpedia:Schecter_C-1_Hellraiser_FR>
INEX_LD-2010020,<dbpedia:Anderson_Electric>
INEX_LD-2010020,<dbpedia:William_Alexander_Gambling>
INEX_LD-2010043,<dbpedia:Listed_buildings_in_Scotland>
INEX_LD-2010043,<dbpedia:W._W._E._Ross>
INEX_LD-2010043,<dbpedia:Aisle_(video_game)>
INEX_LD-2010043,<dbpedia:Surrealist_cinema>
INEX_LD-2010043,<dbpedia:Christian_Dotremont>
INEX_LD-2010043,<dbpedia:List_of_films_influenced_by_the_Surrealist_movement>
INEX_LD-2010043,<dbpedia:E-SDS>
INEX_LD-2010043,<dbpedia:Grammy_Award_for_Best_American_Roots_Song>
INEX_LD-2010043,<dbpedia:Classes_of_computers>
INEX_LD-2010043,<dbpedia:Birmingham_Film_Society>
INEX_LD-2010069,<dbpedia:Primary_flow_element>
INEX_LD-2010069,<dbpedia:Garden_(Summer_Edit)>
INEX_LD-2010069,<dbpedia:Ricci_flow>
INEX_LD-2010069,<dbpedia:Geometric_flow>
INEX_LD-2010069,<dbpedia:Pound_per_hour>
INEX_LD-2010069,<dbpedia:Nowhere-zero_flow>
INEX_LD-2010069,<dbpedia:Hydrogen_bromine_battery>
INEX_LD-2010069,<dbpedia:Out-of-kilter_algorithm>
INEX_LD-2010069,<dbpedia:Invoice_discounting>
INEX_LD-2010106,<dbpedia:Hare_Krishna_Food_for_Life>
INEX_LD-2010106,<dbpedia:Community_Action_Services_and_Food_Bank>
INEX_LD-2010106,<dbpedia:Heterozygote_advantage>
INEX_LD-2010106,<dbpedia:Oilseed_press>
INEX_LD-2010106,<dbpedia:Love_in_the_Mirror>
INEX_LD-2010106,<dbpedia:Organic_Infant_Formula>
INEX_LD-2010106,<dbpedia:Evolutionary_Baggage>
INEX_LD-2010106,<dbpedia:Compensation_(chess)>
INEX_LD-2010106,<dbpedia:National_Secular_Society>
INEX_LD-20120112,<dbpedia:Operation_34A>
INEX_LD-20120112,<dbpedia:Republic_of_Vietnam_Military_Forces>
INEX_LD-20120112,<dbpedia:Michael_Herr>
INEX_LD-20120112,<dbpedia:Land_reform_in_South_Vietnam>
INEX_LD-20120112,<dbpedia:South_Korea_in_the_Vietnam_War>
INEX_LD-20120112,<dbpedia:Operation_Flaming_Dart>
INEX_LD-20120112,<dbpedia:The_Iron_Triangle_(film)>
INEX_LD-20120112,<dbpedia:Cartridge_Trap>
INEX_LD-20120112,<dbpedia:Operation_Wandering_Soul_(novel)>
INEX_LD-20120112,<dbpedia:Gotcha_(song)>
INEX_LD-20120122,<dbpedia:Jaden_Hair>
INEX_LD-20120122,<dbpedia:Smitten_Kitchen>
INEX_LD-20120122,<dbpedia:Serious_Eats>
INEX_LD-20120122,<dbpedia:Pastanjauhantaa>
INEX_LD-20120122,<dbpedia:Huy_Duc>
INEX_LD-20120122,<dbpedia:Sarah_Lockett>
INEX_LD-20120122,<dbpedia:ChÃ¨_bÃ _ba>
INEX_LD-20120122,<dbpedia:BÃ¡nh_bÃ²>
INEX_LD-20120122,<dbpedia:BÃ¡nh_chÆ°ng>
INEX_LD-20120122,<dbpedia:Phan_Thanh_Háº£i>
INEX_LD-20120132,<dbpedia:Dong_Hoi_Airport>
INEX_LD-20120132,<dbpedia:List_of_airports_in_Vietnam>
INEX_LD-20120132,<dbpedia:Airports_Corporation_of_Vietnam>
INEX_LD-20120132,<dbpedia:Civil_Aviation_Administration_of_Vietnam>
INEX_LD-20120132,<dbpedia:An_Giang_Airport>
INEX_LD-20120132,<dbpedia:Vietnam_Airlines_destinations>
INEX_LD-20120132,<dbpedia:Can_Tho_International_Airport>
INEX_LD-20120132,<dbpedia:Rach_Gia_Airport>
INEX_LD-20120132,<dbpedia:NÃ _Sáº£n_Airport>
INEX_LD-20120132,<dbpedia:Cat_Bi_International_Airport>
INEX_LD-20120212,<dbpedia:Guitar_chord>
